# Rime user dictionary
#@/db_name	wubi86
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	1006
#@/user_id	4b6bfa65-3f6c-4ae2-8e4a-1506f1bc7007
a 	工	c=1 d=1 t=612
abdw 	节奏	c=1 d=1 t=701
adhh 	项目	c=1 d=1 t=432
ag 	七	c=2 d=1.89583 t=69
aisg 	东西	c=1 d=1 t=154
amyy 	英文	c=3 d=2.73874 t=525
avrq 	切换	c=2 d=1.9802 t=96
awx 	花	c=2 d=1.99501 t=168
b 	了	c=10 d=3.39126 t=910
bb 	子	c=1 d=1 t=165
bbh 	耶	c=1 d=1 t=890
bcii 	取消	c=1 d=1 t=82
bm 	出	c=1 d=1 t=565
bn 	也	c=1 d=1 t=238
bvrm 	限制	c=1 d=1 t=410
c 	以	c=7 d=3.26774 t=852
cd 	参	c=16 d=3.20842 t=997
ce 	能	c=4 d=2.27829 t=896
cf 	对	c=3 d=1.14169 t=915
d 	在	c=2 d=1.6157 t=746
dcg 	码	c=4 d=2.72097 t=870
dd 	大	c=4 d=2.98358 t=962
dg 	三	c=2 d=1.89583 t=65
dgwr 	硬件	c=1 d=1 t=672
djd 	非	c=2 d=1.04856 t=959
dm 	面	c=3 d=2.72473 t=710
duo 	碰	c=1 d=1 t=171
dy 	太	c=2 d=1.03526 t=908
e 	有	c=12 d=1.93959 t=1005
efsg 	脚本	c=2 d=1.98511 t=425
et 	用	c=7 d=2.24307 t=799
fdsv 	需要	c=1 d=1 t=705
fg 	二	c=2 d=1.89583 t=64
fh 	直	c=1 d=1 t=883
fhgo 	起来	c=1 d=1 t=985
fhjc 	赶紧	c=1 d=1 t=374
fhjf 	超时	c=2 d=1.99005 t=413
fhw 	真	c=1 d=1 t=953
fnuj 	声音	c=2 d=1.97531 t=127
fp 	过	c=2 d=1.20089 t=692
fptx 	过敏	c=1 d=1 t=228
fq 	无	c=1 d=1 t=504
fqp 	远	c=2 d=1.33287 t=446
ftjb 	都	c=3 d=2.17774 t=733
g 	一	c=10 d=3.29241 t=973
ga 	开	c=8 d=2.56843 t=742
gc 	到	c=4 d=1.79483 t=888
gd 	天	c=1 d=1 t=221
ge 	表	c=1 d=1 t=510
geng 	表情	c=1 d=1 t=597
gg 	五	c=2 d=1.89583 t=67
ggtt 	五笔	c=4 d=3.55009 t=1002
gh 	下	c=3 d=2.06052 t=972
ghfa 	下载	c=5 d=3.27968 t=549
ghip 	正常	c=2 d=1.07502 t=873
gjnt 	更改	c=1 d=1 t=81
glgl 	画画	c=2 d=1.89137 t=224
gmdh 	现在	c=4 d=2.68659 t=698
gmf 	再	c=1 d=1 t=969
gmww 	两	c=5 d=3.41397 t=730
gn 	与	c=1 d=1 t=687
go 	来	c=1 d=1 t=566
h 	上	c=2 d=1.08586 t=643
hjdm 	桌面	c=1 d=1 t=922
hko 	点	c=1 d=1 t=718
hxf 	些	c=2 d=1.99501 t=259
i 	不	c=24 d=5.56227 t=975
idr 	源	c=2 d=1.04307 t=858
iefc 	浮动	c=3 d=2.7151 t=346
ifc 	法	c=1 d=1 t=506
ige 	清	c=1 d=1 t=407
ih 	小	c=1 d=1 t=163
im 	没	c=7 d=1.45981 t=1004
imfc 	滑动	c=2 d=1.06891 t=884
ipkh 	常	c=1 d=1 t=961
iptj 	觉得	c=1 d=1 t=677
iry 	激	c=1 d=1 t=215
iv 	当	c=1 d=1 t=112
ivue 	当前	c=2 d=1.71892 t=529
j 	是	c=14 d=3.99503 t=823
jb 	最	c=2 d=1.41478 t=986
jfd 	里	c=1 d=1 t=160
jfuj 	时间	c=1 d=1 t=129
jghm 	题	c=1 d=1 t=781
jgm 	师	c=1 d=1 t=614
jhny 	虫	c=1 d=1 t=164
jjjj 	日	c=1 d=1 t=756
jofi 	显示	c=3 d=1.3647 t=871
jqk 	晚	c=1 d=1 t=288
ka 	呀	c=1 d=1 t=179
kb 	啊	c=1 d=1 t=143
kc 	吧	c=1 d=1 t=243
kcg 	吗	c=4 d=2.18054 t=361
kcn 	吧	c=1 d=1 t=704
kdp 	哒	c=1 d=1 t=264
kdyc 	顺序	c=2 d=1.25284 t=843
kff 	哇	c=1 d=1 t=235
kh 	中	c=3 d=1.17404 t=979
khi 	跳	c=1 d=1 t=855
khlf 	中转	c=1 d=1 t=854
khqn 	跑	c=1 d=1 t=906
kht 	路	c=1 d=1 t=907
khyy 	中文	c=4 d=1.76779 t=601
kkh 	串	c=1 d=1 t=928
kkk 	品	c=1 d=1 t=211
kldn 	嗯	c=6 d=5.14508 t=255
klj 	别	c=2 d=1.3413 t=723
knx 	呢	c=1 d=1 t=262
kr 	听	c=3 d=2.92196 t=253
kv 	哪	c=1 d=1 t=628
kvwh 	哪个	c=2 d=1.41271 t=808
kw 	只	c=2 d=1.36972 t=798
kwkw 	哈哈	c=2 d=1.99501 t=176
lfnu 	黑屏	c=3 d=2.94624 t=557
lfo 	黑	c=1 d=1 t=815
lfyw 	黑夜	c=1 d=1 t=762
lfyw 	默认	c=4 d=1.64866 t=778
lh 	四	c=2 d=1.89583 t=66
lkfa 	加载	c=1 d=1 t=842
lksq 	架构	c=3 d=1.83574 t=728
lp 	边	c=1 d=1 t=251
lpkh 	边距	c=1 d=1 t=74
ls 	困	c=2 d=1.20909 t=573
ltsf 	图标	c=1 d=1 t=76
lu 	较	c=1 d=1 t=935
lwty 	输入	c=1 d=1 t=104
mgjf 	同时	c=1 d=1 t=95
mhny 	贝	c=1 d=1 t=287
mmbw 	删除	c=3 d=1.56874 t=386
mqb 	见	c=1 d=1 t=722
mqu 	岁	c=2 d=1.57695 t=735
mt 	几	c=1 d=1 t=250
ngbb 	屋子	c=1 d=1 t=159
nge 	情	c=1 d=1 t=511
nguk 	情况	c=1 d=1 t=141
nj 	慢	c=1 d=1 t=368
nnw 	快	c=2 d=1.03763 t=887
nrqv 	快捷键	c=1 d=1 t=949
ntg 	性	c=1 d=1 t=214
nty 	改	c=3 d=2.01374 t=575
o 	为	c=3 d=1.64562 t=992
onhk 	断点	c=1 d=1 t=90
oy 	米	c=2 d=1.97045 t=820
p 	这	c=7 d=3.35351 t=678
paya 	宽度	c=2 d=1.63128 t=399
pbtw 	字符	c=6 d=2.44819 t=927
pbws 	字体	c=38 d=9.27778 t=996
pgh 	定	c=2 d=1.5627 t=322
pgmh 	宝贝	c=6 d=1.15753 t=901
pgy 	宝	c=1 d=1 t=148
pu 	实	c=1 d=1 t=380
puhc 	被	c=2 d=1.76338 t=458
puv 	初	c=3 d=2.87114 t=640
pv 	安	c=1 d=1 t=290
pvuf 	安装	c=5 d=1.88029 t=834
pwkk 	窗口	c=3 d=2.1694 t=347
pwst 	空格	c=7 d=6.33882 t=968
q 	我	c=7 d=2.08667 t=899
qdyn 	希望	c=1 d=1 t=373
qe 	角	c=2 d=1.98511 t=994
qh 	外	c=1 d=1 t=724
qk 	名	c=1 d=1 t=608
qn 	包	c=2 d=1.09585 t=607
qnt 	饿	c=1 d=1 t=904
qq 	多	c=3 d=1.7019 t=987
qqwt 	多余	c=1 d=1 t=137
r 	的	c=28 d=8.148 t=957
ra 	找	c=2 d=1.03422 t=782
rcf 	择	c=1 d=1 t=454
rfsy 	技术	c=2 d=1.82283 t=700
rg 	后	c=1 d=1 t=650
rgdm 	后面	c=1 d=1 t=747
rhf 	看	c=7 d=3.00794 t=984
rhhw 	年龄	c=1 d=1 t=682
rm 	抽	c=2 d=1.78663 t=98
rs 	打	c=9 d=1.448 t=897
rstf 	打造	c=1 d=1 t=375
rtte 	托盘	c=4 d=3.25063 t=397
rurp 	接近	c=1 d=1 t=734
ruuj 	拼音	c=4 d=3.16145 t=1003
rxpg 	指定	c=1 d=1 t=801
rym 	搞	c=1 d=1 t=671
s 	要	c=3 d=1.2393 t=660
saaa 	模式	c=2 d=1.96561 t=326
sdfa 	顶戴	c=2 d=1.01455 t=878
sftw 	标签	c=1 d=1 t=93
sfuw 	标准	c=1 d=1 t=617
sglf 	配置	c=17 d=4.46078 t=850
shgx 	相互	c=1 d=1 t=845
shud 	相关	c=1 d=1 t=587
sjrh 	查看	c=8 d=3.12509 t=837
sk 	可	c=1 d=1 t=708
skna 	可惜	c=2 d=1.03112 t=707
skny 	可以	c=1 d=0.131117 t=709
stug 	覆盖	c=1 d=1 t=405
sud 	样	c=1 d=1 t=25
ta 	长	c=1 d=1 t=369
tddc 	乱码	c=6 d=3.61813 t=849
tdn 	乱	c=3 d=1.92108 t=847
tdp 	适	c=1 d=1 t=382
tdut 	知道	c=1 d=1 t=900
tdyi 	适应	c=1 d=1 t=697
teje 	透明	c=7 d=5.35948 t=116
tel 	盘	c=1 d=1 t=394
tf 	行	c=3 d=2.01933 t=920
tfq 	先	c=1 d=1 t=401
tfqp 	选	c=2 d=1.08458 t=947
tfrc 	选择	c=1 d=1 t=807
tfrw 	丢失	c=1 d=1 t=861
tgj 	重	c=1 d=1 t=745
tgtj 	重复	c=1 d=1 t=552
tguq 	生效	c=3 d=1.95791 t=582
thgj 	处理	c=4 d=2.83074 t=995
thnn 	自己	c=1 d=1 t=833
thtc 	怎么	c=1 d=1 t=88
tkgg 	程	c=2 d=1.29969 t=613
tkh 	种	c=1 d=1 t=657
tkyc 	程序	c=1 d=1 t=323
tmg 	微	c=3 d=2.00049 t=819
tmwy 	微信	c=2 d=1.3624 t=331
tpgj 	管理	c=1 d=1 t=741
trgq 	特殊	c=1 d=1 t=490
trkl 	特别	c=1 d=1 t=758
tudl 	简历	c=2 d=1.17817 t=983
tuuj 	简单	c=1 d=1 t=424
tve 	很	c=3 d=1.11868 t=930
twf 	符	c=1 d=1 t=792
twkg 	符号	c=5 d=2.18716 t=804
txg 	每	c=1 d=1 t=550
txxy 	系统	c=9 d=6.13381 t=395
ua 	并	c=1 d=1 t=744
uda 	差	c=1 d=1 t=444
uddy 	状态	c=2 d=1.66698 t=419
ue 	前	c=1 d=1 t=113
uf 	半	c=1 d=1 t=993
ufy 	装	c=1 d=1 t=364
ugdu 	美	c=1 d=1 t=420
ujbg 	间隔	c=1 d=1 t=73
ujn 	意	c=1 d=1 t=720
ukjg 	问题	c=4 d=1.60876 t=875
uqjs 	效果	c=1 d=1 t=38
uqw 	次	c=1 d=1 t=551
utdm 	首页	c=1 d=1 t=956
utou 	颜料	c=1 d=1 t=203
uud 	痒	c=2 d=1.99501 t=183
uuyn 	立刻	c=1 d=1 t=581
uy 	六	c=2 d=1.89583 t=68
v 	发	c=7 d=2.55719 t=970
vb 	好	c=11 d=2.39287 t=879
vebm 	退出	c=1 d=1 t=356
vfb 	那	c=2 d=1.35345 t=656
vima 	妙曲	c=5 d=1.55526 t=795
vkws 	如何	c=3 d=1.33002 t=844
vt 	九	c=1 d=1 t=71
vtn 	九	c=1 d=1 t=49
vvqt 	女儿	c=1 d=1 t=886
w 	人	c=1 d=1 t=681
wagj 	代理	c=1 d=1 t=352
wbwu 	他们	c=1 d=1 t=3
wcng 	公司	c=1 d=1 t=659
wfc 	会	c=2 d=1.75957 t=403
wftc 	什么	c=6 d=1.7696 t=903
wg 	全	c=3 d=1.88314 t=990
wget 	使用	c=2 d=1.42741 t=530
wgwy 	命令	c=8 d=2.43986 t=919
wh 	个	c=12 d=2.62286 t=978
whnt 	修改	c=3 d=2.11777 t=476
whtj 	修复	c=1 d=1 t=860
wkdh 	保存	c=1 d=1 t=1006
wq 	你	c=5 d=1.54897 t=951
wqj 	像	c=1 d=1 t=977
wtet 	作用	c=1 d=1 t=846
wty 	八	c=2 d=1.89583 t=70
wwf 	坐	c=1 d=1 t=648
wx 	化	c=2 d=1.06522 t=967
wxf 	华	c=1 d=1 t=408
wxip 	化学	c=1 d=1 t=210
wy 	信	c=1 d=1 t=119
wydn 	集成	c=1 d=1 t=110
wye 	依	c=1 d=1 t=388
wygk 	依赖	c=1 d=1 t=389
wygk 	信赖	c=1 d=1 t=387
wyhk 	焦点	c=1 d=1 t=94
wyna 	偏	c=1 d=1 t=683
xcgj 	经理	c=1 d=1 t=433
xe 	级	c=3 d=1.36086 t=981
xekl 	级别	c=1 d=1 t=632
xtum 	终端	c=3 d=2.74351 t=53
xwg 	给	c=1 d=1 t=716
xydc 	编码	c=1 d=1 t=913
xygg 	统一	c=1 d=1 t=966
y 	主	c=1 d=1 t=158
yay 	谎	c=4 d=1.55858 t=803
yb 	离	c=1 d=1 t=227
yfth 	计算	c=2 d=1.99005 t=303
yg 	主	c=1 d=1 t=780
ygjg 	主题	c=1 d=1.07531 t=781
ygk 	语	c=1 d=1 t=757
ygyy 	语言	c=1 d=1 t=891
yh 	让	c=1 d=1 t=579
yi 	就	c=5 d=2.16441 t=715
yiet 	应用	c=4 d=1.16102 t=923
yiyy 	应该	c=6 d=2.00886 t=736
ykw 	识	c=1 d=1 t=507
ym 	高	c=2 d=1.1653 t=980
ymc 	设	c=1 d=1 t=321
ymfl 	调协	c=1 d=1 t=519
ymlf 	设置	c=15 d=10.0113 t=520
ympg 	设定	c=1 d=1.07045 t=322
ynfc 	启动	c=4 d=2.07387 t=921
yngk 	词	c=1 d=1 t=948
ynvi 	记录	c=1 d=1 t=336
yoc 	变	c=1 d=1 t=460
ysi 	床	c=1 d=1 t=151
ytyc 	放弃	c=1 d=1 t=111
yu 	说	c=1 d=1 t=4
yung 	详情	c=1 d=1 t=589
yyaa 	方式	c=1 d=1 t=345
yywr 	文件	c=1 d=1 t=83
yyyy 	言	c=2 d=1.61878 t=750
encaapm 	花花宝贝	c=0 d=0.1 t=169
encaatk 	工程	c=0 d=0.1 t=613
encahxg 	项目经理	c=0 d=0.1 t=433
encapmd 	花宝贝有	c=0 d=0.1 t=170
encapmh 	花宝贝	c=0 d=0.1 t=169
encarst 	切换标签	c=0 d=0.1 t=93
encasyd 	东西就有	c=0 d=0.1 t=156
encasyi 	东西就	c=0 d=0.1 t=155
encatjg 	工程师	c=0 d=0.1 t=614
encawaw 	花花	c=0 d=0.1 t=168
encaypw 	英文字体	c=0 d=0.1 t=526
encbbkc 	子吗	c=0 d=0.1 t=166
encbdvb 	也太好	c=0 d=0.1 t=240
encbdvk 	也太好听	c=0 d=0.1 t=241
encbmgo 	出来	c=0 d=0.1 t=566
encbnbb 	了耶	c=0 d=0.1 t=890
encbndy 	也太	c=0 d=0.1 t=239
encbnkc 	了吧	c=0 d=0.1 t=243
encbnkn 	了呢	c=0 d=0.1 t=262
encbpws 	了字体	c=0 d=0.1 t=577
enccegi 	能不	c=0 d=0.1 t=739
enccers 	能打	c=0 d=0.1 t=897
enccgce 	能不能	c=0 d=0.1 t=740
enccgty 	能不适应	c=0 d=0.1 t=697
enccrru 	能打拼音	c=0 d=0.1 t=898
encctgg 	能管理开	c=0 d=0.1 t=742
encctgj 	能管理	c=0 d=0.1 t=741
encddwt 	有碰什么	c=0 d=0.1 t=172
encdedu 	有碰	c=0 d=0.1 t=171
encdegg 	有一	c=0 d=0.1 t=257
encderq 	有的	c=0 d=0.1 t=926
encdfuj 	有声音	c=0 d=0.1 t=127
encdghh 	有一些些	c=0 d=0.1 t=259
encdghx 	有一些	c=0 d=0.1 t=258
encdgip 	非正常	c=0 d=0.1 t=355
encdhrg 	在后	c=0 d=0.1 t=650
encdmgg 	面一	c=0 d=0.1 t=711
